region,departement,arrondissement,commune,coordination,langue,X,Y
Thies,Thies,Thies,Thies,Dakar,Wolof,292242,1636408.1
Dakar,Dakar,Dakar,Dakar,Dakar,Wolof,236286,1630724
Dakar,Dakar,Dakar,Dakar,Dakar,Wolof,236286,1630724
Dakar,Rufique,Rufique,Dakar,Dakar,Wolof,255394,1628176.3
Dakar,Guediawaye,Guediawaye,Guediawaye,Dakar,Wolof,242846,1634206
Dakar,Guediawaye,Guediawaye,Guediawaye,Dakar,Wolof,242846,1634206
Saint-Louis,Saint-Louis,RAO,GANDON,Fouta,Wolof,336812,1748122
Matam,Matam ,Ogo ,Nabadji -Civol ,Fouta,Wolof,669794,1735282
Matam,Matam ,Ogo ,Nabadji -Civol ,Fouta,Wolof,674430,1734893
Matam,Matam ,Agnam civol,Dabiya Odedji ,Fouta,Wolof,643513,1744427
Matam,Matam ,Ogo ,Bokidiawe ,Fouta,Wolof,659876,1749698
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,603950,1763190
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,615237,1775451
Saint-Louis,Podor ,Sadel,Mbolo Birame ,Fouta,Wolof,616294,1767148
Saint-Louis,Podor ,Thile Boubacar,Ndiayene  Pendaw,Fouta,Wolof,510129,1825575
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,541004,1833802
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,639393,1780833
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1826132.7
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,552602,1826132.7
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,549972,1825370
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,552602,1823707
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,545946,1829032
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1826132.7
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,531061.8,1826132.7
Saint-Louis,Podor,Gamadji Sahre,Gamadji Sahre,Fouta,Pulaar,547185,1833089
Saint-Louis,Podor ,Thile Boubacar,Ndiayene  Pendaw,Fouta,Pulaar,508301,1824669
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,667814,1774583
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,673143,1771672
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,691457,1734894
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,670265,1776347
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,665974,1773702
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,673216,1774937
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,670265,1771672
Matam,Matam,Ogo,Bokidiawe ,Fouta,Pulaar,666092,1777852
Matam,Backel,Moudery,Moudery,Fouta,Soninke,601559,1795374
Matam,Backel,Moudery,Moudery,Fouta,Soninke,755173,1669293
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,610031,1690793
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,635913,1690793
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,611599,1690943
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,639419,1690943
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,611599,1691415
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,635913,1694632
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,606150,1699155
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,608134,1693004
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,606150,1692359
Matam,Ranerou,Velingara (Ferlo),Oudalaye,Fouta,Pulaar,644625,1699155
Matam,Kanel ,Ouro Sidy ,Sinthiou Bamambe,Fouta,Pulaar,700571,1699593
Matam,Kanel ,Ouro Sidy ,Sinthiou Bamambe,Fouta,Pulaar,711024,1694580
Matam,Kanel ,Ouro Sidy ,Sinthiou Bamambe,Fouta,Pulaar,722403,1695581
Matam,Kanel ,Ouro Sidy ,Sinthiou Bamambe,Fouta,Pulaar,713024,1694580
Matam,Kanel ,Ouro Sidy ,Ouro Sidy ,Fouta,Pulaar,704894,1723469
Matam,Kanel ,Bokiladji,Orkodiere,Fouta,Pulaar,717358,1691274
Matam,Kanel ,Orkodiere,Bokiladji,Fouta,Pulaar,749476,1665039
Matam,Backel,Moudery,Mouderi,Fouta,Soninke,758689,1666466
Matam,Backel,Moudery,Mouderi,Fouta,Soninke,758689,1666466
Matam,Kanel ,Ouro Sidy ,Ouro Sidy ,Fouta,Pulaar,701238,1707457
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,358139,1577625
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,357347,1575169
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,365925,1575614
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,363274,1579773
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,362575,1570319
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,366837,1573176
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,362943,1579593
Kaolack,Kaolack,Sibassor,Thiomby,Kaolack,Wolof,354356,1575658
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,426599,1519194
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,414473,1523784
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,414939,1522232
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,409920,1523784
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,414473,1530746
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,408340,1525604
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,416385,1524388
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,412782,1528157
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,381401,1585664
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Pulaar,418621,1521606
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,436513.5,1522171.5
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,436044,1525312
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,441601,1524616
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,438508,1520712
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,441601,1516938
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,440382,1516938
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,436624,1515257
Kaolack,Nioro,Medina Sabakh,Kaymor,Kaolack,Wolof,434865,1520877
Thies,Thies,Notto,Tassette,Kaolack,Wolof,299024,1615400
Thies,Thies,Notto,Tassette,Kaolack,Wolof,299833,1613531
Thies,Thies,Notto,Tassette,Kaolack,Wolof,296258,1612457
Thies,Thies,Notto,Tassette,Kaolack,Wolof,291684,1602529
Thies,Thies,Notto,Tassette,Kaolack,Wolof,294808,1609141
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,397681.5,1541022.7
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,405747,1545071
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,404055,1529007
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,385608,1544672
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,388990,1545064
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,405500,1543203
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,391079,1547102
Kaolack,Kaolack,Koumbal,Keur Baka,Kaolack,Wolof,405454,1538141
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,405629,1531894
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,416859,1534053
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,412109,1525993
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,413176,1529976
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,403631,1546254
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,421602,1514223
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,420141,1516465
Kaolack,Nioro,Paskoto,Paskoto,Kaolack,Wolof,422376,1509494
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,369394,1574208
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,371222,1573314
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,369711,1571915
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,371414,1572003
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,378685,1571772
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,371264,1573237
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,377118,1572003
Kaolack,Kaolack,Sibassor,Dya,Kaolack,Wolof,371414,1576774
Kolda,Bounkiling,Bogal,Ndiamacouta,Kolda,Mandingue,420528,1440470
Kolda,Sedhiou,Ndiamacouta,Diaroume,Kolda,Wolof,460629,1463357
Kolda,Sedhiou,Ndiamacouta,Diaroume,Kolda,Wolof,458244,1472279
Kolda,Sedhiou,Ndiamacouta,Diaroume,Kolda,Wolof,497710,1427724
Kolda,Sedhiou,Ndiamacouta,Diaroume,Kolda,Wolof,452319,1459651
Kolda,Sedhiou,Diaroume,Diaroume,Kolda,Wolof,439480,1449779
Kolda,Sedhiou,Diaroume,Diaroume,Kolda,Wolof,480012,1414346
Kolda,Sedhiou,Diaroume,Diaroume,Kolda,Wolof,435793,1450187
Kolda,Sedhiou,Bounkiling,Diaroume,Kolda,Wolof,425625,1442639
Kolda,Sedhiou,Bounkiling,Diaroume,Kolda,Wolof,423008,1457696
Kolda,Sedhiou,Bounkiling,Diaroume,Kolda,Wolof,419910,1460386
Kolda,Velingara ,Bonconto,Medina Gounass,Kolda,Pulaar,632107,1441683
Kolda,Sedhiou,Sedhiou,Djibabouya,Kolda,Mandingue,595780,1463426
Kolda,Kolda,Dioulacolon ,Medina El Hadji,Kolda,Pulaar,515508,1405161
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,525637,1471614
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,543353,1473810
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,539317,1461410
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,524365,1473039
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,536526,1463842
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,536526,1471675
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,533537,1470416
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,530839,1461675
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,531067,1463307
Kolda,Kolda,Medina Yero Foulah,Niaming,Kolda,Wolof,522888,1474928
Kolda,Kolda,Tankanto Escale,Salikegne,Kolda,Wolof,495304.4,1417307.8
Kolda,Kolda,Tankanto Escale,Salikegne,Kolda,Wolof,492740,1405073
Kolda,Kolda,Tankanto Escale,Salikegne,Kolda,Wolof,490790,1412429
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,513703,1416359
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,526240,1402096
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,517407,1401833
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,527968,1405064
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,525629,1404540
Kolda,Kolda,Dioulacolon,Salikegne,Kolda,Wolof,531476,1409531
Kolda,Kolda,Medina El Hadji,Salikegne,Kolda,Wolof,507349,1402213
Kolda,Sedhiou,Diaroume,Sedhiou I,Kolda,Wolof,432693,1437844
Kolda,Sedhiou,Diaroume,Sedhiou I,Kolda,Wolof,437158,1428564
Kolda,Sedhiou,Diaroume,Sedhiou I,Kolda,Wolof,430653,1434707
Kolda,Sedhiou,Diaroume,Sedhiou I,Kolda,Wolof,430109,1437429
Kolda,Sedhiou,Bounkiling,Sedhiou I,Kolda,Wolof,424399.1,1441452.3
Kolda,Sedhiou,Djiende,Sedhiou I,Kolda,Wolof,440540,1425462
Kolda,Sedhiou,Bambaly,Sedhiou I,Kolda,Wolof,424773,1426290
Kolda,Sedhiou,Djiredji,Sedhiou I,Kolda,Wolof,421213,1415378
Kolda,Sedhiou,Djiredji Ba,Sedhiou I,Kolda,Wolof,416219,1425092
Kolda,Sedhiou,Commune de Sedhiou,Sedhiou I,Kolda,Wolof,457508,1443006
Kolda,Sedhiou,Kolibantang,Sedhiou II,Kolda,Wolof,473699,1415597
Kolda,Sedhiou,Kolibantang,Sedhiou II,Kolda,Wolof,481459,1414191
Kolda,Sedhiou,Kolibantang,Sedhiou II,Kolda,Wolof,468484,1420776
Kolda,Sedhiou,Kolibantang,Sedhiou II,Kolda,Wolof,476666,1414933.8
Kolda,Sedhiou,Kolibantang,Sedhiou II,Kolda,Wolof,470467,1418636
Kolda,Sedhiou,Sansamba,Sedhiou II,Kolda,Wolof,483889,1436936
Kolda,Sedhiou,Sansamba,Sedhiou II,Kolda,Wolof,483889,1436936
Kolda,Sedhiou,Sansamba,Sedhiou II,Kolda,Wolof,413108.3,1415683.7
Kolda,Sedhiou,Commune de Marsassoum,Sedhiou II,Kolda,Wolof,393504.8,1418837.7
Kolda,Sedhiou,Sakar ,Sedhiou II,Kolda,Wolof,467823,1423609
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,288086.6,1594029.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,289087.6,1594030.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,289088.6,1594031.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,288089.6,1594032.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,289990.6,1594033.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Wolof,288091.6,1594034.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Mandingue,288092.6,1594035.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Pulaar,288093.6,1594036.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Pulaar,288094.6,1594037.4
Thies,Mbour,Mbour,Mbour (Commune),Mbour,Pulaar,288095.6,1594038.4
Thies,Mbour,Sindia,Malicounda,Mbour,Wolof,292467,1595519
Thies,Mbour,Sindia,Malicounda,Mbour,Wolof,288097.6,1594040.4
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,735406,1566619
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,723347,1544557
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,764512,1585104
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,755887,1559298
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,756874,1545899
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,758294,1560004
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,761125,1559537
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,776058,1563787
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,759383,1566668
Tambacounda,Goudiry,Boyguel,koussan,Tambacounda,Pulaar,753359,1567775
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,697982,1550568
Tambacounda,Goudiry,Boyguel,Boyguel,Tambacounda,Pulaar,725348,1561200
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,714312,1553884
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,711312,1553884
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,702416,1543852
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,712396,1527859
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,719396,1528859
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,714396,1598859
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,712396,1528859
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Pulaar,684435,1535898
Tambacounda,Goudiry,Missirah,Koar,Tambacounda,Soninke,660401,1505526
Tambacounda,Goudiry,Missirah,Missirah,Tambacounda,Soninke,664918,1524367
Tambacounda,Goudiry,Missirah,Netteboulou,Tambacounda,Soninke,660679,1495548
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,685454,1526297
Tambacounda,Goudiry,Bala,Bala,Tambacounda,Soninke,682792,1537087
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,673319,1539134
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,651245,1479184
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,659589,1533700
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,659548,1498614
Tambacounda,Goudiry,Bala,Koar,Tambacounda,Soninke,654893,1533309
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,405779,1638029
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,406071,1643593
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,410987,1637537
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,391087,1636537
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,406151,1643751
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,382358,1633292
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,386144,1629152
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,399779,1638029
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,406151,1643751
Dioubel,Mbacke,Ndame,Touba  mosquee,Touba,wolof,398987,1621537
Ziguinchor,Bignona,Niamone,Bignona,Ziguinchor,Diola,357974,1408727
Ziguinchor,Bignona,Suelle,Bignona,Ziguinchor,Diola,360742,1424346
Ziguinchor,Bignona,Suelle,Bignona,Ziguinchor,Diola,395575,1455519
Ziguinchor,Bignona,Sindian,Bignona,Ziguinchor,Diola,372929,1429446
Ziguinchor,Bignona,Oulampane,Bignona,Ziguinchor,Diola,399099,1433229
Ziguinchor,Bignona,Oulampane,Bignona,Ziguinchor,Diola,396382,1408727
Ziguinchor,Bignona,Oulampane,Bignona,Ziguinchor,Diola,400272,1440750
Ziguinchor,Bignona,Commune,Bignona,Ziguinchor,Diola,351974,1408727
Ziguinchor,Bignona,Commune,Bignona,Ziguinchor,Mandingue,391099,1433229
Ziguinchor,Bignona,Diouloulou,Diannah,Ziguinchor,Mandingue,326090.6,1442910.8
Ziguinchor,Bignona,Diouloulou,Diannah,Ziguinchor,Mandingue,319881,1449202
Ziguinchor,Bignona,Diouloulou,Diannah,Ziguinchor,Mandingue,322743,1450702
Ziguinchor,Bignona,Diouloulou,Diannah,Ziguinchor,Mandingue,325054,1453215
Ziguinchor,Bignona,Kaffountine ,Diannah,Ziguinchor,Mandingue,314137,1435150
Ziguinchor,Bignona,Diouloulou,Diannah,Ziguinchor,Mandingue,331724,1434531
Ziguinchor,Bignona,Kaffountine,Diannah,Ziguinchor,Mandingue,314866,1441693
Ziguinchor,Bignona,Kaffountine,Diannah,Ziguinchor,Mandingue,338724,1434531
Ziguinchor,Bignona,Kaffountine,Diannah,Ziguinchor,Mandingue,336278,1434531
Ziguinchor,Bignona,Niamone ,Diannah,Ziguinchor,Mandingue,359101,1402747
Ziguinchor,Bignona,Mlomp,Tendieme,Ziguinchor,Diola,334207,1418361
Ziguinchor,Bignona,Mlomp,Tendieme,Ziguinchor,Diola,340476,1408991
Ziguinchor,Bignona,Commune,Tendieme,Ziguinchor,Diola,346272,1402735
Ziguinchor,Bignona,Balingor,Tendieme,Ziguinchor,Diola,353626.1,1411568.1
Ziguinchor,Bignona,Diegoune,Tendieme,Ziguinchor,Diola,348607,1414133
